"Ghana","31","7","18","31","8","18","31","8","19","31","8","19","31","8","19","31","8","19","32","8","19","32","8","20","32","8","20","32","8","20","32","8","20","32","8","21","32","8","21","32","8","21","32","9","21","32","9","21","32","9","22","32","9","22"
"Greece","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","","0","0","3","0","1","3","0","1","3","0","1","3","0","1","3","0","1","3","0","1"
"Grenada","","","4","","","4","","","4","","","4","","","4","","","3","","","3","","","3","","","3","","","3","","","3","","","3","","","3","","","2","","","2","","","2","","","2","","","2"
"Guatemala","8","1","5","9","1","5","10","1","6","11","2","6","12","2","7","13","2","7","13","2","8","14","2","8","15","2","9","16","3","10","17","3","10","18","3","11","18","3","11","19","3","12","20","3","12","21","4","13","22","4","13","22","4","14"
"Guinea","22","1","14","23","1","15","24","1","16","25","1","17","26","1","17","27","1","18","28","1","19","29","1","20","30","1","20","31","1","21","32","2","22","33","2","23","34","2","24","35","2","24","36","2","25","37","2","26","38","2","27","39","2","28"
"Guinea-Bissau","28","2","17","28","2","17","30","2","18","32","2","19","33","2","20","35","2","22","37","2","23","38","2","24","40","3","25","41","3","26","43","3","27","45","3","29","46","3","30","48","3","31","50","3","32","51","3","34","53","4","35","55","4","36"
"Guyana","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1"
"Haiti","34","8","20","35","8","21","36","9","22","37","9","22","38","9","23","39","9","24","40","9","25","41","9","26","42","9","27","43","9","28","44","9","29","45","10","30","47","10","31","48","10","32","49","10","33","50","10","34","51","10","36","52","10","37"
"Honduras","11","2","6","13","2","7","14","2","7","15","2","8","17","2","9","18","2","10","19","3","10","20","3","11","22","3","12","23","3","13","24","3","14","26","3","14","27","3","15","28","3","16","29","3","17","31","3","18","32","4","19","33","4","20"
"Hungary","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"India","36","5","26","40","6","28","43","7","31","46","9","34","49","10","37","52","11","39","55","13","42","59","14","45","62","15","47","65","16","50","68","18","53","71","19","56","74","20","59","78","22","61","81","23","64","84","24","67","87","25","70","90","27","73"
"Indonesia","17","4","10","18","5","11","20","5","12","22","6","13","23","6","15","25","7","16","27","8","17","29","8","18","30","9","20","32","9","21","34","10","22","35","11","24","37","11","25","39","12","27","40","13","28","42","13","30","44","14","31","46","14","33"
"Iran (Islamic Republic of)","","0","","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1","2","0","1"
"Iraq","0","0","0","0","0","0","1","0","0","2","0","1","3","0","1","4","0","1","5","0","1","6","0","2","6","0","2","7","0","2","8","0","3","9","0","3","10","0","3","11","0","4","12","0","4","13","0","4","14","0","4","15","0","5"
"Ireland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Israel","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Italy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","",""
"Jamaica","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1"
"Japan","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Jordan","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"Kazakhstan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenya","13","2","10","14","2","11","14","2","11","15","2","12","15","2","12","16","2","12","16","2","13","17","2","13","17","2","14","17","2","14","18","2","14","18","3","15","19","3","15","19","3","16","20","3","16","20","3","17","21","3","17","21","3","17"
"Kiribati","","","28","","","30","","","31","","","32","","","33","","","34","","","36","","","37","","","38","","","39","","","40","","","42","","","43","","","44","","","45","","","46","","","48","","","49"
"Kuwait","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Kyrgyzstan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lao People's Democratic Republic","31","1","21","33","3","23","36","4","25","38","5","27","41","6","30","43","7","32","46","8","34","48","10","37","51","11","39","53","12","41","56","13","44","58","14","46","61","15","48","63","17","51","65","18","53","68","19","56","70","20","59","73","21","62"
"Latvia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lebanon","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Lesotho","35","6","27","37","6","28","38","6","29","39","7","30","40","7","31","41","7","32","42","7","34","44","7","35","45","8","36","46","8","37","47","8","38","48","8","39","49","8","40","51","8","41","52","9","43","53","9","44","54","9","45","55","9","46"
"Liberia","60","19","40","61","20","41","62","20","41","63","21","42","64","21","43","65","22","44","66","22","45","67","23","46","68","23","47","69","24","48","70","24","49","71","25","50","72","25","50","73","26","51","74","26","52","75","27","53","76","27","54","77","28","55"
"Libya","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0","","","0"
"Lithuania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
